facility_filter,facility_name,service_name,demand,funded_capacity,variance,year,growth_index
North General Hospital,North General Hospital,General Medicine,81,42,-39,2037,1.5494375075567839
North General Hospital,North General Hospital,General Surgery,52,30,-22,2037,1.4844484196285817
North General Hospital,North General Hospital,Maternal Care,43,20,-23,2037,1.3581053427271392
North General Hospital,North General Hospital,Mental Health,39,16,-23,2037,1.4083738663897543
North General Hospital,North General Hospital,Child Health,31,18,-13,2037,1.2680101498929337
North General Hospital,North General Hospital,General Medicine,84,42,-42,2038,1.607605881336903
North General Hospital,North General Hospital,General Surgery,54,30,-24,2038,1.5347462919690074
North General Hospital,North General Hospital,Maternal Care,44,20,-24,2038,1.393208087479818
North General Hospital,North General Hospital,Mental Health,40,16,-24,2038,1.4495429560401525
North General Hospital,North General Hospital,Child Health,32,18,-14,2038,1.2933982869379017
North General Hospital,North General Hospital,General Medicine,87,42,-45,2039,1.6680650142499354
North General Hospital,North General Hospital,General Surgery,56,30,-26,2039,1.5868810478415938
North General Hospital,North General Hospital,Maternal Care,45,20,-25,2039,1.4292784676354031
North General Hospital,North General Hospital,Mental Health,41,16,-25,2039,1.4920257528556595
North General Hospital,North General Hospital,Child Health,32,18,-14,2039,1.3193226552462527
North General Hospital,North General Hospital,General Medicine,91,42,-49,2040,1.7309090854132483
North General Hospital,North General Hospital,General Surgery,58,30,-28,2040,1.6408837535358503
North General Hospital,North General Hospital,Maternal Care,46,20,-26,2040,1.4662299867899604
North General Hospital,North General Hospital,Mental Health,42,16,-26,2040,1.5357884908272759
North General Hospital,North General Hospital,Child Health,33,18,-15,2040,1.3457313918629552
South Medical Center,South Medical Center,General Medicine,35,27,-8,2025,1.0
South Medical Center,South Medical Center,General Surgery,24,20,-4,2025,1.0
South Medical Center,South Medical Center,Maternal Care,21,13,-8,2025,1.0
South Medical Center,South Medical Center,Mental Health,21,10,-11,2025,1.0
South Medical Center,South Medical Center,Child Health,16,12,-4,2025,1.0
South Medical Center,South Medical Center,General Medicine,37,27,-10,2026,1.035656258634982
South Medical Center,South Medical Center,General Surgery,25,20,-5,2026,1.0323748217559583
South Medical Center,South Medical Center,Maternal Care,22,13,-9,2026,1.0233162038955657
South Medical Center,South Medical Center,Mental Health,22,10,-12,2026,1.0286058016058015
South Medical Center,South Medical Center,Child Health,17,12,-5,2026,1.0182088587132232
South Medical Center,South Medical Center,General Medicine,38,27,-11,2027,1.0726420834484665
South Medical Center,South Medical Center,General Surgery,26,20,-6,2027,1.06585166021593
South Medical Center,South Medical Center,Mental Health,23,10,-13,2027,1.0580871017871016
South Medical Center,South Medical Center,Maternal Care,22,13,-9,2027,1.0471487567343556
South Medical Center,South Medical Center,Child Health,17,12,-5,2027,1.036742644681539
South Medical Center,South Medical Center,General Medicine,39,27,-12,2028,1.1110331306990884
South Medical Center,South Medical Center,General Surgery,27,20,-7,2028,1.1005013240985944
South Medical Center,South Medical Center,Maternal Care,23,13,-10,2028,1.0715965810194779
South Medical Center,South Medical Center,Mental Health,23,10,-13,2028,1.0885130795130795
South Medical Center,South Medical Center,Child Health,17,12,-5,2028,1.0556613320400903
South Medical Center,South Medical Center,General Medicine,41,27,-14,2029,1.1508461315280465
South Medical Center,South Medical Center,General Surgery,28,20,-8,2029,1.1363214096557344
South Medical Center,South Medical Center,Maternal Care,24,13,-11,2029,1.0965651263986738
South Medical Center,South Medical Center,Mental Health,24,10,-14,2029,1.11984245014245
South Medical Center,South Medical Center,Child Health,18,12,-6,2029,1.0749017135467185
South Medical Center,South Medical Center,General Medicine,42,27,-15,2030,1.1921850787510362
South Medical Center,South Medical Center,General Surgery,29,20,-9,2030,1.173421124465268
South Medical Center,South Medical Center,Mental Health,25,10,-15,2030,1.1521902874902874
South Medical Center,South Medical Center,Maternal Care,24,13,-11,2030,1.1221554703688355
South Medical Center,South Medical Center,Child Health,18,12,-6,2030,1.0944422243776268
South Medical Center,South Medical Center,General Medicine,44,27,-17,2031,1.2350643271621997
South Medical Center,South Medical Center,General Surgery,30,20,-10,2031,1.2117709920554085
South Medical Center,South Medical Center,Maternal Care,25,13,-12,2031,1.1483567136344799
South Medical Center,South Medical Center,Mental Health,25,10,-15,2031,1.1855511525511526
South Medical Center,South Medical Center,Child Health,18,12,-6,2031,1.1144067248625928
South Medical Center,South Medical Center,General Medicine,45,27,-18,2032,1.2795277839182095
South Medical Center,South Medical Center,General Surgery,31,20,-11,2032,1.251427439397026
South Medical Center,South Medical Center,Mental Health,26,10,-16,2032,1.2199017094017095
South Medical Center,South Medical Center,Maternal Care,25,13,-12,2032,1.1750841276419395
South Medical Center,South Medical Center,Child Health,19,12,-7,2032,1.1346947946977044
South Medical Center,South Medical Center,General Medicine,47,27,-20,2033,1.325751782260293
South Medical Center,South Medical Center,General Surgery,32,20,-12,2033,1.2925326543084132
South Medical Center,South Medical Center,Mental Health,27,10,-17,2033,1.255413701113701
South Medical Center,South Medical Center,Maternal Care,26,13,-13,2033,1.2025333402403648
South Medical Center,South Medical Center,Child Health,19,12,-7,2033,1.1554169738118332
South Medical Center,South Medical Center,General Medicine,49,27,-22,2034,1.3736396656534955
South Medical Center,South Medical Center,General Surgery,33,20,-13,2034,1.3349864127113467
South Medical Center,South Medical Center,Mental Health,28,10,-18,2034,1.2919750064750064
South Medical Center,South Medical Center,Maternal Care,26,13,-13,2034,1.2305967467882306
South Medical Center,South Medical Center,Child Health,19,12,-7,2034,1.1764868412544454
South Medical Center,South Medical Center,General Medicine,50,27,-23,2035,1.4234023072672009
South Medical Center,South Medical Center,General Surgery,34,20,-14,2035,1.3789729476471786
South Medical Center,South Medical Center,Mental Health,28,10,-18,2035,1.329728749028749
South Medical Center,South Medical Center,Maternal Care,27,13,-14,2035,1.259288479071695
South Medical Center,South Medical Center,Child Health,20,12,-8,2035,1.1979327190430005
South Medical Center,South Medical Center,General Medicine,52,27,-25,2036,1.4750300497374964
South Medical Center,South Medical Center,General Surgery,35,20,-15,2036,1.424495864738236
South Medical Center,South Medical Center,Mental Health,29,10,-19,2036,1.3686958559958557
South Medical Center,South Medical Center,Maternal Care,28,13,-15,2036,1.2887009324492333
South Medical Center,South Medical Center,Child Health,20,12,-8,2036,1.2197764306498546
South Medical Center,South Medical Center,General Medicine,54,27,-27,2037,1.5286193838076818
South Medical Center,South Medical Center,General Surgery,36,20,-16,2037,1.471584783051538
South Medical Center,South Medical Center,Mental Health,30,10,-20,2037,1.4088521108521108
South Medical Center,South Medical Center,Maternal Care,28,13,-15,2037,1.3187395565685869
South Medical Center,South Medical Center,Child Health,20,12,-8,2037,1.2420418364047847
South Medical Center,South Medical Center,General Medicine,56,27,-29,2038,1.5842689693285439
South Medical Center,South Medical Center,General Surgery,37,20,-17,2038,1.5203623344876758
South Medical Center,South Medical Center,Mental Health,31,10,-21,2038,1.4503516964516963
South Medical Center,South Medical Center,Maternal Care,29,13,-16,2038,1.3495989017820142
South Medical Center,South Medical Center,Child Health,21,12,-9,2038,1.2647151956029743
South Medical Center,South Medical Center,General Medicine,58,27,-31,2039,1.6420177949709864
South Medical Center,South Medical Center,General Surgery,38,20,-18,2039,1.5708341413729885
South Medical Center,South Medical Center,Mental Health,32,10,-22,2039,1.4931358197358195
South Medical Center,South Medical Center,Maternal Care,30,13,-17,2039,1.3810909448818898
South Medical Center,South Medical Center,Child Health,21,12,-9,2039,1.287815357258325
South Medical Center,South Medical Center,General Medicine,60,27,-33,2040,1.70197275490467
South Medical Center,South Medical Center,General Surgery,39,20,-19,2040,1.6230606233448768
South Medical Center,South Medical Center,Mental Health,33,10,-23,2040,1.5372761201761203
South Medical Center,South Medical Center,Maternal Care,30,13,-17,2040,1.4133037090758391
South Medical Center,South Medical Center,Child Health,21,12,-9,2040,1.3113133527319754
